Order ID,Order Date,Customer Name,State,Region,Category,Sub Category,Salesperson,Quantity,Unit Price,Discount %,Sales Amount,Profit
ORD000001,09-02-2024,Customer_1099,Gujarat,North,Electronics,Tablet,Karan,2,57690.21,10,103842.38,-3498.34
ORD000002,03-09-2025,Customer_0144,West Bengal,East,Office Supplies,Pen,Vikas,3,205.16,15,523.16,132.17
ORD000003,10-08-2025,Customer_0544,TamilNadu,South,Furniture,Table,Sneha,13,68003.07,10,795635.92,248075.09
ORD000004,02/12/2025,Customer_1308,Kerala,South,Office Supplies,Notebook,Neha,7,66979.16,25,351640.59,49399.67
ORD000005,23-06-2024,Customer_0691,Gujarat,North,Electronics,Mobile,Amit,12,61528.65,15,627592.23,127383.58
ORD000006,2024-12-26,Customer_0831,Gujarat,North,Furniture,Bookshelf,Anjali,2,62383.76,10,112290.77,-8363.81
ORD000007,31-03-2025,Customer_1540,TamilNadu,North,Furniture,Bookshelf,Neha,8,73552.14,5,558996.26,193715.59
ORD000008,06-06-2025,Customer_1449,West bengal,South,Office Supplies,Marker,Priya,11,31573.17,0,347304.87,64446.37
ORD000009,29-07-2025,Customer_0849,Delhi,South,Home Appliances,Mixer,Priya,6,19749.5,15,100722.45,-6627.2
ORD000010,2025-10-04,Customer_1553,Gujarat,North,Furniture,Sofa,Rohit,11,17683.46,0,194518.06,53423.51
ORD000011,19/06/2024,Customer_0792,Tamil Nadu,North,Office Supplies,Pen,Anjali,9,73121.72,20,526476.38,-15050.13
ORD000012,28/11/2024,Customer_1055,Gujarat,North,Home Appliances,Refrigerator,Sneha,7,59349.9,0,415449.3,-4907.17
ORD000013,25-11-2024,Customer_0816,West Bengal,West,Office Supplies,Notebook,Amit,5,69741.81,5,331273.6,2453.74
ORD000014,15/12/2024,Customer_1102, Maharashtra,South,Furniture,Sofa,Anjali,10,17381.13,20,139049.04,7831.54
ORD000015,12-05-2025,Customer_0811,Odisha,East,Home Appliances,Mixer,Pooja,5,53555.14,30,187442.99,31587.14
ORD000016,16-04-2025,Customer_1962,Uttar Pradesh,South,Home Appliances,Refrigerator,Neha,12,43880.02,25,394920.18,-22689.27
ORD000017,19/01/2025,Customer_0544,Bihar,East,Furniture,Table,Arjun,7,73294.1,0,513058.7,144630.7
ORD000018,2025-01-24,Customer_1201,Tamil Nadu,North,Electronics,Tablet,Sneha,9,61499.61,10,498146.84,-28089.52
ORD000019,08-12-2025,Customer_1027,Rajasthan,West,Home Appliances,Refrigerator,Priya,14,32986.49,20,369448.69,25101.43
ORD000020,13-02-2024,Customer_1110, Maharashtra,East,Electronics,Headphones,Anjali,11,37274.65,5,389520.09,48786.75
ORD000021,21/08/2024,Customer_1819,West bengal,North,Office Supplies,Stapler,Rohit,15,73600.01,10,993600.13,232336.56
ORD000022,02/10/2024,Customer_0340,Kerala,South,Electronics,Smartwatch,Anjali,1,37300.98,5,35435.93,185.81
ORD000023,24-07-2025,Customer_1654,Maharashtra,South,Furniture,Sofa,Rohit,9,6984.53,15,53431.65,9806.33
ORD000024,13-06-2025,Customer_0316,TamilNadu,East,Home Appliances,Mixer,Sneha,1,42784.97,30,29949.48,6027.57
ORD000025,25/11/2024,Customer_0062,West Bengal,South,Furniture,Chair,Meera,7,69541.19,0,486788.33,47343.06
ORD000026,2024-11-28,Customer_1056,West Bengal,South,Office Supplies,Pen,Sneha,5,8524.94,25,31968.53,6281.9
ORD000027,2025-05-23,Customer_0588, Maharashtra,East,Home Appliances,Fan,Anjali,9,14236.74,0,128130.66,43946.06
ORD000028,2025-01-06,Customer_0800,Odisha,East,Office Supplies,Stapler,Pooja,10,1385.3,20,11082.4,795.63
ORD000029,09-05-2024,Customer_0288,Bihar,North,Office Supplies,Notebook,Amit,13,50182.39,15,554515.41,-1490.23
ORD000030,2024-03-02,Customer_0311,West bengal,North,Electronics,Mobile,Anjali,4,34363.86,5,130582.67,26686.06
ORD000031,01/04/2024,Customer_0020,Karnataka,East,Furniture,Table,Amit,4,58875.35,10,211951.26,44251.6
ORD000032,01/01/2024,Customer_1833,Kerala,South,Electronics,Laptop,Karan,15,18785.77,5,267697.22,-7013.88
ORD000033,09-09-2025,Customer_0717,,East,Office Supplies,Printer Paper,Vikas,11,9838.41,15,91989.13,27323.4
ORD000034,17/04/2024,Customer_1222,Telangana,West,Office Supplies,Notebook,Sneha,7,53993.88,20,302365.73,18149.49
ORD000035,2025-07-11,Customer_0794,West Bengal,West,Office Supplies,Marker,Sneha,13,36106.48,25,352038.18,106609.81
ORD000036,2024-10-03,Customer_1829,Odisha,West,Office Supplies,Pen,Arjun,2,10297.8,25,15446.7,2780.69
ORD000037,02/05/2024,Customer_1096,West bengal,North,Home Appliances,Mixer,Anjali,10,19557.92,30,136905.44,21644.5
ORD000038,27-03-2025,Customer_1675,Odisha,West,Furniture,Chair,Rohit,2,62923.39,20,100677.42,-3684.97
ORD000039,2024-05-12,Customer_0358,Gujarat,North,Electronics,Headphones,Priya,4,18059.48,0,72237.92,19309.14
ORD000040,15/10/2025,Customer_1114,Telangana,North,Electronics,Laptop,Amit,13,42706.29,10,499663.59,82155.59
ORD000041,2025-05-24,Customer_0866,West bengal,East,Furniture,Sofa,Karan,5,66026.32,5,313625.02,32491.43
ORD000042,20/03/2025,Customer_1096,Delhi,South,Furniture,Chair,Amit,8,43405.52,5,329881.95,30451.09
ORD000043,2025-06-21,Customer_1463,West Bengal,South,Office Supplies,Notebook,Neha,4,50666.53,5,192532.81,55407.81
ORD000044,2024-08-09,Customer_1345,Kerala,North,Furniture,Cabinet,Neha,7,49383.07,0,345681.49,-14676.4
ORD000045,07/11/2025,Customer_0188,Bihar,West,Home Appliances,Refrigerator,Karan,5,30870.2,5,146633.45,21908.41
ORD000046,18-07-2025,Customer_0061,Delhi,North,Electronics,Headphones,Karan,15,49171.04,25,553174.2,145692.24
ORD000047,17-05-2025,Customer_1545,Tamil Nadu,East,Office Supplies,Pen,Sneha,3,3052.61,0,9157.83,1574.68
ORD000048,14/05/2025,Customer_1549,Maharashtra,North,Home Appliances,Microwave,Pooja,9,50997.92,0,458981.28,113974.89
ORD000049,2025-12-30,Customer_1415,Gujarat,West,Home Appliances,Refrigerator,Rahul,6,50732.89,5,289177.47,6121.75
ORD000050,12/09/2024,Customer_1952,Uttar Pradesh,East,Furniture,Cabinet,Anjali,12,60709.19,30,509957.2,81598.2
ORD000051,2024-08-18,Customer_0875,Telangana,South,Furniture,Sofa,Rohit,6,74037.31,20,355379.09,69134.61
ORD000052,27-12-2024,Customer_0657,Kerala,South,Electronics,Tablet,Meera,8,34831.08,0,278648.64,-17738.07
ORD000053,24-11-2025,Customer_0878,Uttar Pradesh,West,Office Supplies,Pen,Arjun,1,13914.29,25,10435.72,1179.0
ORD000054,2024-02-18,Customer_1144,,South,Office Supplies,Stapler,Rohit,5,50586.69,10,227640.11,1936.2
ORD000055,15-12-2025,Customer_1510,TamilNadu,South,Home Appliances,Mixer,Priya,13,14197.61,10,166112.04,3059.88
ORD000056,2024-03-25,Customer_0865,Bihar,South,Furniture,Sofa,Anjali,2,51955.81,10,93520.46,-447.77
ORD000057,06-02-2025,Customer_1707,Bihar,West,Electronics,Headphones,Priya,1,7116.34,10,6404.71,2094.84
ORD000058,20-10-2024,Customer_1440,Karnataka,East,Electronics,Headphones,Pooja,7,37546.54,0,262825.78,72237.31
ORD000059,14-08-2024,Customer_1865,Kerala,South,Home Appliances,Microwave,Vikas,4,24816.75,25,74450.25,9278.18
ORD000060,2024-10-27,Customer_1334,Tamil Nadu,North,Home Appliances,Fan,Rohit,13,68258.6,15,754257.53,173072.82
ORD000061,05-06-2025,Customer_1387,Rajasthan,West,Furniture,Table,Meera,13,4377.54,25,42681.01,4224.75
ORD000062,11/12/2025,Customer_1920, Maharashtra,West,Home Appliances,Mixer,Arjun,10,28967.55,0,289675.5,22695.37
ORD000063,19-07-2024,Customer_0392,Rajasthan,West,Home Appliances,Microwave,Pooja,3,34107.43,20,81857.83,1617.75
ORD000064,14-06-2024,Customer_0081,West bengal,South,Home Appliances,Mixer,Rohit,3,11951.97,10,32270.32,6058.41
ORD000065,2025-11-01,Customer_0849,Odisha,West,Furniture,Chair,Pooja,9,39351.81,20,283333.03,57386.46
ORD000066,2025-09-07,Customer_1873,Rajasthan,South,Office Supplies,Marker,Karan,1,46192.06,10,41572.85,4418.28
ORD000067,2024-06-21,Customer_1022,Odisha,East,Furniture,Bookshelf,Anjali,12,70782.24,5,806917.54,-9433.77
ORD000068,18/03/2025,Customer_1777,West bengal,West,Home Appliances,Microwave,Rahul,9,47857.05,5,409177.78,106775.95
ORD000069,05-11-2024,Customer_0146, Maharashtra,North,Furniture,Table,Priya,1,49539.98,0,49539.98,4771.89
ORD000070,23-04-2025,Customer_0239,Telangana,East,Home Appliances,Mixer,Sneha,3,19938.75,5,56825.44,6231.06
ORD000071,21/10/2025,Customer_0711,Delhi,West,Office Supplies,Printer Paper,Rahul,5,43096.39,0,215481.95,-7648.81
ORD000072,22/11/2025,Customer_0500,Telangana,North,Office Supplies,Pen,Rohit,12,34027.5,5,387913.5,105078.62
ORD000073,2025-09-04,Customer_0317,Rajasthan,East,Home Appliances,Mixer,Vikas,12,69087.89,15,704696.48,11942.08
ORD000074,2024-09-22,Customer_1646,Karnataka,West,Home Appliances,Refrigerator,Sneha,8,73683.83,0,589470.64,13025.29
ORD000075,27-02-2024,Customer_1154,Tamil Nadu,West,Furniture,Table,Priya,11,20796.05,15,194443.07,30184.69
ORD000076,20-06-2024,Customer_0569,Kerala,East,Furniture,Cabinet,Sneha,11,22719.01,0,249909.11,77640.16
ORD000077,11/02/2024,Customer_1717,Rajasthan,West,Furniture,Cabinet,Sneha,13,32147.41,0,417916.33,59580.63
ORD000078,03-10-2025,Customer_0597,Uttar Pradesh,West,Electronics,Laptop,Karan,2,38326.59,20,61322.54,7758.58
ORD000079,03-10-2025,Customer_0573,Bihar,North,Furniture,Table,Rahul,1,49803.29,20,39842.63,11918.28
ORD000080,2025-01-08,Customer_1264,TamilNadu,East,Furniture,Table,Vikas,2,71238.61,25,106857.92,2140.14
ORD000081,06/11/2024,Customer_0844,Maharashtra,North,Home Appliances,Refrigerator,Arjun,11,8043.3,25,66357.23,281.5
ORD000082,12-05-2025,Customer_1044,Rajasthan,West,Home Appliances,Iron,Rahul,12,57462.71,10,620597.27,193418.56
ORD000083,2024-08-04,Customer_0673,West Bengal,West,Home Appliances,Mixer,Arjun,11,27097.37,25,223553.3,29508.52
ORD000084,2024-07-13,Customer_0131,Telangana,West,Furniture,Cabinet,Vikas,3,68903.16,20,165367.58,13968.33
ORD000085,19-11-2025,Customer_0814,Gujarat,South,Furniture,Table,Meera,1,64725.09,10,58252.58,3793.15
ORD000086,20/08/2025,Customer_1396,West Bengal,South,Furniture,Bookshelf,Meera,7,13172.05,5,87594.13,6468.13
ORD000087,2024-03-05,Customer_1466,West bengal,West,Electronics,Laptop,Sneha,8,1460.74,25,8764.44,-486.26
ORD000088,03/12/2024,Customer_0283,Telangana,West,Furniture,Cabinet,Priya,1,2795.74,20,2236.59,30.12
ORD000089,2025-11-07,Customer_0293,Odisha,West,Home Appliances,Mixer,Sneha,8,4841.79,25,29050.74,2060.82
ORD000090,2024-11-09,,Maharashtra,East,Furniture,Table,Sneha,3,6458.04,10,17436.71,4355.68
ORD000091,21/03/2024,Customer_1417,Gujarat,North,Office Supplies,Notebook,Anjali,13,4834.57,25,47137.06,10589.13
ORD000092,2024-02-26,Customer_0207,Odisha,East,Furniture,Bookshelf,Karan,7,36453.5,0,255174.5,65431.31
ORD000093,2025-08-03,Customer_1276,Bihar,East,Furniture,Sofa,Anjali,12,67847.06,5,773456.48,255267.08
ORD000094,12/11/2025,Customer_1641,Uttar Pradesh,West,Electronics,Laptop,Pooja,5,63829.77,0,319148.85,10400.88
ORD000095,09/10/2025,Customer_1782,Odisha,West,Office Supplies,Stapler,Vikas,12,42137.66,10,455086.73,136578.01
ORD000096,2025-02-08,Customer_1433,Tamil Nadu,North,Home Appliances,Refrigerator,Vikas,2,7089.6,30,9925.44,264.74
ORD000097,2025-03-14,Customer_1981,Uttar Pradesh,North,Electronics,Smartwatch,Rahul,2,32989.09,5,62679.27,-1273.44
ORD000098,15-10-2024,Customer_0281,Delhi,East,Furniture,Chair,Karan,2,45952.48,30,64333.47,11011.54
ORD000099,16-08-2024,Customer_0946,Uttar Pradesh,West,Home Appliances,Refrigerator,Karan,7,57939.7,25,304183.42,-19770.85
ORD000100,29-08-2024,Customer_1948,Telangana,East,Office Supplies,Pen,Meera,6,13902.35,,83414.1,7807.25
ORD000101,27/02/2024,Customer_1833,Maharashtra,East,Furniture,Cabinet,Neha,7,12894.21,10,81233.52,4407.06
ORD000102,2025-08-11,Customer_0397,Kerala,West,Office Supplies,Pen,Priya,15,73950.51,30,776480.35,186824.03
ORD000103,2025-06-14,Customer_0122,Odisha,North,Furniture,Table,Rahul,13,41554.33,20,432165.03,135847.86
ORD000104,11-09-2025,Customer_0436,Odisha,East,Home Appliances,Fan,Karan,2,1935.91,25,2903.87,988.88
ORD000105,20-01-2024,Customer_1737, Maharashtra,South,Furniture,Table,Meera,4,67766.8,30,189747.04,-657.22
ORD000106,28/04/2025,Customer_0667,Odisha,East,Office Supplies,Pen,Sneha,13,8478.95,5,104715.03,27757.69
ORD000107,24/12/2025,Customer_1676,Kerala,South,Office Supplies,Marker,Priya,11,30693.99,30,236343.72,67574.15
ORD000108,21/06/2025,Customer_1751,Kerala,North,Home Appliances,Refrigerator,Rohit,2,49060.9,5,93215.71,-5691.03
ORD000109,21/03/2025,Customer_0168,West Bengal,North,Office Supplies,Pen,Pooja,10,7800.45,10,70204.05,11267.91
ORD000110,2024-07-04,Customer_1879,Tamil Nadu,East,Office Supplies,Marker,Meera,13,71863.82,15,794095.21,-11444.18
ORD000111,09-11-2025,Customer_1207,Kerala,South,Electronics,Headphones,Karan,3,45549.44,0,136648.32,2097.03
ORD000112,2025-07-07,Customer_0733,Telangana,West,Electronics,Tablet,Amit,5,21368.79,0,106843.95,21480.35
ORD000113,13-07-2025,Customer_0558,Rajasthan,South,Home Appliances,Iron,Rohit,1,9621.77,10,8659.59,2598.15
ORD000114,23-02-2024,Customer_0584,Gujarat,North,Furniture,Chair,Meera,3,69155.04,15,176345.35,32740.67
ORD000115,2024-02-17,Customer_1311,Uttar Pradesh,North,Office Supplies,Printer Paper,Arjun,6,64880.71,10,350355.83,102971.48
ORD000116,12-09-2024,Customer_0585,Telangana,West,Furniture,Bookshelf,Neha,12,25165.65,25,226490.85,53347.24
ORD000117,20-05-2025,Customer_1750,West Bengal,West,Home Appliances,Iron,Karan,6,64726.22,15,330103.72,72750.65
ORD000118,20-05-2025,Customer_0296,Uttar Pradesh,West,Office Supplies,Marker,Neha,2,20611.16,0,41222.32,-1096.18
ORD000119,25/02/2024,Customer_0901,Telangana,West,Electronics,Headphones,Karan,2,72328.28,25,108492.42,21820.15
ORD000120,2025-07-14,Customer_1595,West bengal,West,Furniture,Table,Anjali,1,48419.25,0,48419.25,16809.23
ORD000121,30/08/2024,Customer_0254,Bihar,East,Home Appliances,Refrigerator,Amit,3,24190.99,5,68944.32,7206.0
ORD000122,20-06-2025,Customer_0931,West Bengal,South,Electronics,Tablet,Sneha,3,50861.6,30,106809.36,24015.51
ORD000123,2025-09-07,Customer_0821,TamilNadu,East,Furniture,Bookshelf,Rahul,13,64708.62,0,841212.06,252093.42
ORD000124,10-03-2025,Customer_1028,Maharashtra,East,Home Appliances,Fan,Rohit,12,72130.48,0,865565.76,153662.46
ORD000125,17/05/2025,Customer_1905,West bengal,South,Electronics,Headphones,Meera,9,20438.82,10,165554.44,9324.41
ORD000126,05-06-2025,Customer_1823,Maharashtra,North,Home Appliances,Fan,Neha,9,21240.23,30,133813.45,33654.78
ORD000127,15/12/2024,Customer_1907,Bihar,East,Furniture,Table,Anjali,13,5773.22,5,71299.27,15987.15
ORD000128,2024-11-11,Customer_0815,Gujarat,West,Furniture,Cabinet,Vikas,15,24988.9,0,374833.5,43025.19
ORD000129,04/12/2024,Customer_1906,Maharashtra,North,Electronics,Mobile,Sneha,15,42592.03,10,574992.41,193725.19
ORD000130,05/10/2024,Customer_1694,Odisha,South,Electronics,Tablet,Amit,14,19535.42,30,191447.12,48757.86
ORD000131,23-11-2024,Customer_0241,Karnataka,West,Furniture,Table,Neha,7,48876.78,25,256603.09,47717.23
ORD000132,30/09/2024,Customer_0142,West Bengal,North,Office Supplies,Printer Paper,Rohit,6,43396.48,15,221322.05,41714.23
ORD000133,23-09-2025,Customer_0634,Maharashtra,North,Furniture,Sofa,Arjun,6,28322.06,30,118952.65,-2373.54
ORD000134,2025-11-23,Customer_0358,Kerala,East,Office Supplies,Stapler,Rahul,4,4030.39,30,11285.09,3765.07
ORD000135,25/08/2024,Customer_1818,Gujarat,West,Furniture,Table,Rahul,12,34155.84,0,409870.08,109743.23
ORD000136,2024-07-08,Customer_1832,West bengal,West,Electronics,Headphones,Meera,11,44420.72,20,390902.34,1958.41
ORD000137,2025-09-18,,Telangana,South,Electronics,Smartwatch,Arjun,13,28659.68,15,316689.46,24591.86
ORD000138,26/01/2025,Customer_0038,Delhi,West,Electronics,Headphones,Amit,12,44964.84,20,431662.46,26267.46
ORD000139,28-10-2025,Customer_1299,Gujarat,South,Home Appliances,Mixer,Pooja,3,72796.54,15,185631.18,-14111.93
ORD000140,08-12-2024,Customer_1466,Rajasthan,North,Office Supplies,Stapler,Karan,14,64462.19,20,721976.53,241247.56
ORD000141,2025-09-29,Customer_1507, Maharashtra,South,Office Supplies,Marker,Meera,13,14824.12,20,154170.85,-1799.12
ORD000142,2025-09-23,Customer_1564,Gujarat,East,Office Supplies,Notebook,Karan,5,24222.67,20,96890.68,-3453.9
ORD000143,16-09-2025,Customer_1355,West bengal,West,Office Supplies,Pen,Pooja,14,30724.36,0,430141.04,126648.31
ORD000144,03-01-2024,Customer_1273,Delhi,West,Furniture,Sofa,Vikas,8,6306.41,10,45406.15,11607.92
ORD000145,20-03-2025,Customer_1993,Telangana,North,Office Supplies,Pen,Arjun,6,5334.76,10,28807.7,5069.55
ORD000146,2024-11-03,Customer_1861,West Bengal,West,Office Supplies,Pen,Anjali,6,6495.64,15,33127.76,7304.61
ORD000147,2025-02-16,Customer_1123,Maharashtra,South,Home Appliances,Mixer,Sneha,2,14338.07,20,22940.91,1053.2
ORD000148,2024-10-25,Customer_0258,Telangana,North,Home Appliances,Refrigerator,Amit,7,35903.85,25,188495.21,16797.19
ORD000149,2025-08-03,Customer_0684,Tamil Nadu,East,Home Appliances,Iron,Vikas,10,38586.28,15,327983.38,87377.01
